CBSA,CBSA Geography,Population Estimate,Year
25540,"Hartford-West Hartford-East Hartford, CT","1,212,381",2010
25620,"Hattiesburg, MS","142,842",2010
25860,"Hickory-Lenoir-Morganton, NC","365,497",2010
25980,"Hinesville-Fort Stewart, GA","77,917",2010
26100,"Holland-Grand Haven, MI","263,801",2010
26180,"Honolulu, HI","953,207",2010
26300,"Hot Springs, AR","96,024",2010
26380,"Houma-Bayou Cane-Thibodaux, LA","208,178",2010
26420,"Houston-Sugar Land-Baytown, TX","5,946,800",2010
26580,"Huntington-Ashland, WV-KY-OH","287,702",2010
26620,"Huntsville, AL","417,593",2010
26820,"Idaho Falls, ID","130,374",2010
26900,"Indianapolis-Carmel, IN","1,756,241",2010
26980,"Iowa City, IA","152,586",2010
27060,"Ithaca, NY","101,564",2010
27100,"Jackson, MI","160,248",2010
27140,"Jackson, MS","539,057",2010
27180,"Jackson, TN","115,425",2010
27260,"Jacksonville, FL","1,345,596",2010
27340,"Jacksonville, NC","177,772",2010
27500,"Janesville, WI","160,331",2010
27620,"Jefferson City, MO","149,807",2010
27740,"Johnson City, TN","198,716",2010
27780,"Johnstown, PA","143,679",2010
27860,"Jonesboro, AR","121,026",2010
27900,"Joplin, MO","175,518",2010
28020,"Kalamazoo-Portage, MI","326,589",2010
28100,"Kankakee-Bradley, IL","113,449",2010
28140,"Kansas City, MO-KS","2,035,334",2010
28420,"Kennewick-Pasco-Richland, WA","253,340",2010
28660,"Killeen-Temple-Fort Hood, TX","405,300",2010
28700,"Kingsport-Bristol-Bristol, TN-VA","309,544",2010
28740,"Kingston, NY","182,493",2010
28940,"Knoxville, TN","698,030",2010
29020,"Kokomo, IN","98,688",2010
29100,"La Crosse, WI-MN","133,665",2010
29140,"Lafayette, IN","201,789",2010
29180,"Lafayette, LA","273,738",2010
29340,"Lake Charles, LA","199,607",2010
29420,"Lake Havasu City-Kingman, AZ","200,186",2010
29460,"Lakeland-Winter Haven, FL","602,095",2010
29540,"Lancaster, PA","519,445",2010
29620,"Lansing-East Lansing, MI","464,036",2010
29700,"Laredo, TX","250,304",2010
29740,"Las Cruces, NM","209,233",2010
29820,"Las Vegas-Paradise, NV","1,951,269",2010
29940,"Lawrence, KS","110,826",2010
30020,"Lawton, OK","124,098",2010
30140,"Lebanon, PA","133,568",2010
30300,"Lewiston, ID-WA","60,888",2010
30340,"Lewiston-Auburn, ME","107,702",2010
30460,"Lexington-Fayette, KY","472,099",2010
30620,"Lima, OH","106,331",2010
30700,"Lincoln, NE","302,157",2010
30780,"Little Rock-North Little Rock-Conway, AR","699,757",2010
30860,"Logan, UT-ID","125,442",2010
30980,"Longview, TX","214,369",2010
31020,"Longview, WA","102,410",2010
31100,"Los Angeles-Long Beach-Santa Ana, CA","12,828,837",2010
31140,"Louisville/Jefferson County, KY-IN","1,283,566",2010
31180,"Lubbock, TX","284,890",2010
31340,"Lynchburg, VA","252,634",2010
31420,"Macon, GA","232,293",2010
31460,"Madera-Chowchilla, CA","150,865",2010
31540,"Madison, WI","568,593",2010
31700,"Manchester-Nashua, NH","400,721",2010
31740,"Manhattan, KS","127,081",2010
31860,"Mankato-North Mankato, MN","96,740",2010
31900,"Mansfield, OH","124,475",2010
32580,"McAllen-Edinburg-Mission, TX","774,769",2010
32780,"Medford, OR","203,206",2010
32820,"Memphis, TN-MS-AR","1,316,100",2010
32900,"Merced, CA","255,793",2010
33100,"Miami-Fort Lauderdale-Pompano Beach, FL","5,564,635",2010
33140,"Michigan City-La Porte, IN","111,467",2010
33260,"Midland, TX","136,872",2010
33340,"Milwaukee-Waukesha-West Allis, WI","1,555,908",2010
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","3,279,833",2010
33540,"Missoula, MT","109,299",2010
33660,"Mobile, AL","412,992",2010
33700,"Modesto, CA","514,453",2010
33740,"Monroe, LA","176,441",2010
33780,"Monroe, MI","152,021",2010
33860,"Montgomery, AL","374,536",2010
34060,"Morgantown, WV","129,709",2010
34100,"Morristown, TN","136,608",2010
34580,"Mount Vernon-Anacortes, WA","116,901",2010
34620,"Muncie, IN","117,671",2010
34740,"Muskegon-Norton Shores, MI","172,188",2010
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC","269,291",2010
34900,"Napa, CA","136,484",2010
34940,"Naples-Marco Island, FL","321,520",2010
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","1,589,934",2010
35300,"New Haven-Milford, CT","862,477",2010
35380,"New Orleans-Metairie-Kenner, LA","1,167,764",2010
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA","18,897,109",2010
35660,"Niles-Benton Harbor, MI","156,813",2010
35840,"North Port-Bradenton-Sarasota, FL","702,281",2010
35980,"Norwich-New London, CT","274,055",2010
36100,"Ocala, FL","331,298",2010
36140,"Ocean City, NJ","97,265",2010
36220,"Odessa, TX","137,130",2010
36260,"Ogden-Clearfield, UT","547,184",2010
36420,"Oklahoma City, OK","1,252,987",2010
36500,"Olympia, WA","252,264",2010
36540,"Omaha-Council Bluffs, NE-IA","865,350",2010
36740,"Orlando-Kissimmee-Sanford, FL","2,134,411",2010
36780,"Oshkosh-Neenah, WI","166,994",2010
36980,"Owensboro, KY","114,752",2010
37100,"Oxnard-Thousand Oaks-Ventura, CA","823,318",2010
37340,"Palm Bay-Melbourne-Titusville, FL","543,376",2010
37380,"Palm Coast, FL","95,696",2010
37460,"Panama City-Lynn Haven-Panama City Beach, FL","168,852",2010
37620,"Parkersburg-Marietta-Vienna, WV-OH","162,056",2010
37700,"Pascagoula, MS","162,246",2010
37860,"Pensacola-Ferry Pass-Brent, FL","448,991",2010
37900,"Peoria, IL","379,186",2010
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,965,343",2010
38060,"Phoenix-Mesa-Glendale, AZ","4,192,887",2010
38220,"Pine Bluff, AR","100,258",2010
38300,"Pittsburgh, PA","2,356,285",2010
38340,"Pittsfield, MA","131,219",2010
38540,"Pocatello, ID","90,656",2010
38860,"Portland-South Portland-Biddeford, ME","514,098",2010
38900,"Portland-Vancouver-Hillsboro, OR-WA","2,226,009",2010
38940,"Port St. Lucie, FL","424,107",2010
39100,"Poughkeepsie-Newburgh-Middletown, NY","670,301",2010
39140,"Prescott, AZ","211,033",2010
39300,"Providence-New Bedford-Fall River, RI-MA","1,600,852",2010
39340,"Provo-Orem, UT","526,810",2010
39380,"Pueblo, CO","159,063",2010
39460,"Punta Gorda, FL","159,978",2010
39540,"Racine, WI","195,408",2010
39580,"Raleigh-Cary, NC","1,130,490",2010
39660,"Rapid City, SD","126,382",2010
39740,"Reading, PA","411,442",2010
39820,"Redding, CA","177,223",2010
39900,"Reno-Sparks, NV","425,417",2010
40060,"Richmond, VA","1,258,251",2010
40140,"Riverside-San Bernardino-Ontario, CA","4,224,851",2010
40220,"Roanoke, VA","308,707",2010
40340,"Rochester, MN","186,011",2010
40380,"Rochester, NY","1,054,323",2010
40420,"Rockford, IL","349,431",2010
40580,"Rocky Mount, NC","152,392",2010
40660,"Rome, GA","96,317",2010
40900,"Sacramento--Arden-Arcade--Roseville, CA","2,149,127",2010
40980,"Saginaw-Saginaw Township North, MI","200,169",2010
41060,"St. Cloud, MN","189,093",2010
41100,"St. George, UT","138,115",2010
41140,"St. Joseph, MO-KS","127,329",2010
41180,"St. Louis, MO-IL","2,812,896",2010
41420,"Salem, OR","390,738",2010
41500,"Salinas, CA","415,057",2010
41540,"Salisbury, MD","125,203",2010
41620,"Salt Lake City, UT","1,124,197",2010
41660,"San Angelo, TX","111,823",2010
41700,"San Antonio-New Braunfels, TX","2,142,508",2010
41740,"San Diego-Carlsbad-San Marcos, CA","3,095,313",2010
41780,"Sandusky, OH","77,079",2010
41860,"San Francisco-Oakland-Fremont, CA","4,335,391",2010
41940,"San Jose-Sunnyvale-Santa Clara, CA","1,836,911",2010
42020,"San Luis Obispo-Paso Robles, CA","269,637",2010
42060,"Santa Barbara-Santa Maria-Goleta, CA","423,895",2010
42100,"Santa Cruz-Watsonville, CA","262,382",2010
42140,"Santa Fe, NM","144,170",2010
42220,"Santa Rosa-Petaluma, CA","483,878",2010
42340,"Savannah, GA","347,611",2010
42540,"Scranton--Wilkes-Barre, PA","563,631",2010
42660,"Seattle-Tacoma-Bellevue, WA","3,439,809",2010
42680,"Sebastian-Vero Beach, FL","138,028",2010
43100,"Sheboygan, WI","115,507",2010
43300,"Sherman-Denison, TX","120,877",2010
43340,"Shreveport-Bossier City, LA","398,604",2010
43580,"Sioux City, IA-NE-SD","143,577",2010
43620,"Sioux Falls, SD","228,261",2010
43780,"South Bend-Mishawaka, IN-MI","319,224",2010
43900,"Spartanburg, SC","284,307",2010
44060,"Spokane, WA","471,221",2010
44100,"Springfield, IL","210,170",2010
44140,"Springfield, MA","692,942",2010
44180,"Springfield, MO","436,712",2010
44220,"Springfield, OH","138,333",2010
44300,"State College, PA","153,990",2010
44600,"Steubenville-Weirton, OH-WV","124,454",2010
44700,"Stockton, CA","685,306",2010
44940,"Sumter, SC","107,456",2010
45060,"Syracuse, NY","662,577",2010
45220,"Tallahassee, FL","367,413",2010
45300,"Tampa-St. Petersburg-Clearwater, FL","2,783,243",2010
45460,"Terre Haute, IN","172,425",2010
45500,"Texarkana, TX-Texarkana, AR","136,027",2010
45780,"Toledo, OH","651,429",2010
45820,"Topeka, KS","233,870",2010
45940,"Trenton-Ewing, NJ","366,513",2010
46060,"Tucson, AZ","980,263",2010
46140,"Tulsa, OK","937,478",2010
46220,"Tuscaloosa, AL","219,461",2010
46340,"Tyler, TX","209,714",2010
46540,"Utica-Rome, NY","299,397",2010
46660,"Valdosta, GA","139,588",2010
46700,"Vallejo-Fairfield, CA","413,344",2010
47020,"Victoria, TX","115,384",2010
47220,"Vineland-Millville-Bridgeton, NJ","156,898",2010
47260,"Virginia Beach-Norfolk-Newport News, VA-NC","1,671,683",2010
47300,"Visalia-Porterville, CA","442,179",2010
47380,"Waco, TX","234,906",2010
47580,"Warner Robins, GA","139,900",2010
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","5,582,170",2010
47940,"Waterloo-Cedar Falls, IA","167,819",2010
48140,"Wausau, WI","134,063",2010
48300,"Wenatchee-East Wenatchee, WA","110,884",2010
48540,"Wheeling, WV-OH","147,950",2010
48620,"Wichita, KS","623,061",2010
48660,"Wichita Falls, TX","151,306",2010
48700,"Williamsport, PA","116,111",2010
48900,"Wilmington, NC","362,315",2010
49020,"Winchester, VA-WV","128,472",2010
49180,"Winston-Salem, NC","477,717",2010
49340,"Worcester, MA","798,552",2010
49420,"Yakima, WA","243,231",2010
49620,"York-Hanover, PA","434,972",2010
49660,"Youngstown-Warren-Boardman, OH-PA","565,773",2010
49700,"Yuba City, CA","166,892",2010
49740,"Yuma, AZ","195,751",2010
10180,"Abilene, TX","160,245",2000
10420,"Akron, OH","694,960",2000
10500,"Albany, GA","157,833",2000
10580,"Albany-Schenectady-Troy, NY","825,875",2000
10740,"Albuquerque, NM","729,649",2000
10780,"Alexandria, LA","145,035",2000
10900,"Allentown-Bethlehem-Easton, PA-NJ","740,395",2000
11020,"Altoona, PA","129,144",2000
11100,"Amarillo, TX","226,522",2000
11180,"Ames, IA","79,981",2000
11260,"Anchorage, AK","319,605",2000
11300,"Anderson, IN","133,358",2000
11340,"Anderson, SC","165,740",2000
11460,"Ann Arbor, MI","322,895",2000
11500,"Anniston-Oxford, AL","112,249",2000
11540,"Appleton, WI","201,602",2000
11700,"Asheville, NC","369,171",2000
12020,"Athens-Clarke County, GA","166,079",2000
12060,"Atlanta-Sandy Springs-Marietta, GA","4,247,981",2000
12100,"Atlantic City-Hammonton, NJ","252,552",2000
12220,"Auburn-Opelika, AL","115,092",2000
12260,"Augusta-Richmond County, GA-SC","499,684",2000
12420,"Austin-Round Rock-San Marcos, TX","1,249,763",2000
12540,"Bakersfield-Delano, CA","661,645",2000
12580,"Baltimore-Towson, MD","2,552,994",2000
12620,"Bangor, ME","144,919",2000
12700,"Barnstable Town, MA","222,230",2000
12940,"Baton Rouge, LA","705,973",2000
12980,"Battle Creek, MI","137,985",2000
13020,"Bay City, MI","110,157",2000
13140,"Beaumont-Port Arthur, TX","385,090",2000
13380,"Bellingham, WA","166,814",2000
13460,"Bend, OR","115,367",2000
13740,"Billings, MT","138,904",2000
13780,"Binghamton, NY","252,320",2000
13820,"Birmingham-Hoover, AL","1,052,238",2000
13900,"Bismarck, ND","94,719",2000
13980,"Blacksburg-Christiansburg-Radford, VA","151,272",2000
14020,"Bloomington, IN","175,506",2000
14060,"Bloomington-Normal, IL","150,433",2000
14260,"Boise City-Nampa, ID","464,840",2000
14460,"Boston-Cambridge-Quincy, MA-NH","4,391,344",2000
14500,"Boulder, CO","269,814",2000
14540,"Bowling Green, KY","104,166",2000
14740,"Bremerton-Silverdale, WA","231,969",2000
14860,"Bridgeport-Stamford-Norwalk, CT","882,567",2000
15180,"Brownsville-Harlingen, TX","335,227",2000
15260,"Brunswick, GA","93,044",2000
15380,"Buffalo-Niagara Falls, NY","1,170,111",2000
15500,"Burlington, NC","130,800",2000
15540,"Burlington-South Burlington, VT","198,889",2000
15940,"Canton-Massillon, OH","406,934",2000
15980,"Cape Coral-Fort Myers, FL","440,888",2000
16020,"Cape Girardeau-Jackson, MO-IL","90,312",2000
16180,"Carson City, NV","52,457",2000
16220,"Casper, WY","66,533",2000
16300,"Cedar Rapids, IA","237,230",2000
16580,"Champaign-Urbana, IL","210,275",2000
16620,"Charleston, WV","309,635",2000
16700,"Charleston-North Charleston-Summerville, SC","549,033",2000
16740,"Charlotte-Gastonia-Rock Hill, NC-SC","1,330,448",2000
16820,"Charlottesville, VA","174,021",2000
16860,"Chattanooga, TN-GA","476,531",2000
16940,"Cheyenne, WY","81,607",2000
16980,"Chicago-Joliet-Naperville, IL-IN-WI","9,098,316",2000
17020,"Chico, CA","203,171",2000
17140,"Cincinnati-Middletown, OH-KY-IN","2,009,632",2000
17300,"Clarksville, TN-KY","232,000",2000
17420,"Cleveland, TN","104,015",2000
17460,"Cleveland-Elyria-Mentor, OH","2,148,143",2000
17660,"Coeur d'Alene, ID","108,685",2000
17780,"College Station-Bryan, TX","184,885",2000
17820,"Colorado Springs, CO","537,484",2000
17860,"Columbia, MO","145,666",2000
17900,"Columbia, SC","647,158",2000
17980,"Columbus, GA-AL","281,768",2000
18020,"Columbus, IN","71,435",2000
18140,"Columbus, OH","1,612,694",2000
18580,"Corpus Christi, TX","403,280",2000
18700,"Corvallis, OR","78,153",2000
18880,"Crestview-Fort Walton Beach-Destin, FL","170,498",2000
19060,"Cumberland, MD-WV","102,008",2000
19100,"Dallas-Fort Worth-Arlington, TX","5,161,544",2000
19140,"Dalton, GA","120,031",2000
19180,"Danville, IL","83,919",2000
19260,"Danville, VA","110,156",2000
19340,"Davenport-Moline-Rock Island, IA-IL","376,019",2000
19380,"Dayton, OH","848,153",2000
19460,"Decatur, AL","145,867",2000
19500,"Decatur, IL","114,706",2000
19660,"Deltona-Daytona Beach-Ormond Beach, FL","443,343",2000
19740,"Denver-Aurora-Broomfield, CO","2,179,240",2000
19780,"Des Moines-West Des Moines, IA","481,394",2000
19820,"Detroit-Warren-Livonia, MI","4,452,557",2000
20020,"Dothan, AL","130,861",2000
20100,"Dover, DE","126,697",2000
20220,"Dubuque, IA","89,143",2000
20260,"Duluth, MN-WI","275,486",2000
20500,"Durham-Chapel Hill, NC","426,493",2000
20740,"Eau Claire, WI","148,337",2000
20940,"El Centro, CA","142,361",2000
21060,"Elizabethtown, KY","107,547",2000
21140,"Elkhart-Goshen, IN","182,791",2000
21300,"Elmira, NY","91,070",2000
21340,"El Paso, TX","679,622",2000
21500,"Erie, PA","280,843",2000
21660,"Eugene-Springfield, OR","322,959",2000
21780,"Evansville, IN-KY","342,815",2000
21820,"Fairbanks, AK","82,840",2000
22020,"Fargo, ND-MN","174,367",2000
22140,"Farmington, NM","113,801",2000
22180,"Fayetteville, NC","336,609",2000
22220,"Fayetteville-Springdale-Rogers, AR-MO","347,045",2000
22380,"Flagstaff, AZ","116,320",2000
22420,"Flint, MI","436,141",2000
22500,"Florence, SC","193,155",2000
22520,"Florence-Muscle Shoals, AL","142,950",2000
22540,"Fond du Lac, WI","97,296",2000
22660,"Fort Collins-Loveland, CO","251,494",2000
22900,"Fort Smith, AR-OK","273,170",2000
23060,"Fort Wayne, IN","390,156",2000
23420,"Fresno, CA","799,407",2000
23460,"Gadsden, AL","103,459",2000
23540,"Gainesville, FL","232,392",2000
23580,"Gainesville, GA","139,277",2000
24020,"Glens Falls, NY","124,345",2000
24140,"Goldsboro, NC","113,329",2000
24220,"Grand Forks, ND-MN","97,478",2000
24300,"Grand Junction, CO","116,255",2000
24340,"Grand Rapids-Wyoming, MI","740,482",2000
24500,"Great Falls, MT","80,357",2000
24540,"Greeley, CO","180,926",2000
24580,"Green Bay, WI","282,599",2000
24660,"Greensboro-High Point, NC","643,430",2000
24780,"Greenville, NC","152,772",2000
24860,"Greenville-Mauldin-Easley, SC","559,940",2000
25060,"Gulfport-Biloxi, MS","246,190",2000
25180,"Hagerstown-Martinsburg, MD-WV","222,771",2000
25260,"Hanford-Corcoran, CA","129,461",2000
25420,"Harrisburg-Carlisle, PA","509,074",2000
25500,"Harrisonburg, VA","108,193",2000
25540,"Hartford-West Hartford-East Hartford, CT","1,148,618",2000
25620,"Hattiesburg, MS","123,812",2000
25860,"Hickory-Lenoir-Morganton, NC","341,851",2000
25980,"Hinesville-Fort Stewart, GA","71,914",2000
26100,"Holland-Grand Haven, MI","238,314",2000
26180,"Honolulu, HI","876,156",2000
26300,"Hot Springs, AR","88,068",2000
26380,"Houma-Bayou Cane-Thibodaux, LA","194,477",2000
26420,"Houston-Sugar Land-Baytown, TX","4,715,407",2000
26580,"Huntington-Ashland, WV-KY-OH","288,649",2000
26620,"Huntsville, AL","342,376",2000
26820,"Idaho Falls, ID","101,677",2000
26900,"Indianapolis-Carmel, IN","1,525,104",2000
26980,"Iowa City, IA","131,676",2000
27060,"Ithaca, NY","96,501",2000
27100,"Jackson, MI","158,422",2000
27140,"Jackson, MS","497,197",2000
27180,"Jackson, TN","107,377",2000
27260,"Jacksonville, FL","1,122,750",2000
27340,"Jacksonville, NC","150,355",2000
27500,"Janesville, WI","152,307",2000
27620,"Jefferson City, MO","140,052",2000
27740,"Johnson City, TN","181,607",2000
27780,"Johnstown, PA","152,598",2000
27860,"Jonesboro, AR","107,762",2000
27900,"Joplin, MO","157,322",2000
28020,"Kalamazoo-Portage, MI","314,866",2000
28100,"Kankakee-Bradley, IL","103,833",2000
28140,"Kansas City, MO-KS","1,836,038",2000
28420,"Kennewick-Pasco-Richland, WA","191,822",2000
28660,"Killeen-Temple-Fort Hood, TX","330,714",2000
28700,"Kingsport-Bristol-Bristol, TN-VA","298,484",2000
28740,"Kingston, NY","177,749",2000
28940,"Knoxville, TN","616,079",2000
29020,"Kokomo, IN","101,541",2000
29100,"La Crosse, WI-MN","126,838",2000
29140,"Lafayette, IN","178,541",2000
29180,"Lafayette, LA","239,086",2000
29340,"Lake Charles, LA","193,568",2000
29420,"Lake Havasu City-Kingman, AZ","155,032",2000
29460,"Lakeland-Winter Haven, FL","483,924",2000
29540,"Lancaster, PA","470,658",2000
29620,"Lansing-East Lansing, MI","447,728",2000
29700,"Laredo, TX","193,117",2000
29740,"Las Cruces, NM","174,682",2000
29820,"Las Vegas-Paradise, NV","1,375,765",2000
29940,"Lawrence, KS","99,962",2000
30020,"Lawton, OK","114,996",2000
30140,"Lebanon, PA","120,327",2000
30300,"Lewiston, ID-WA","57,961",2000
30340,"Lewiston-Auburn, ME","103,793",2000
30460,"Lexington-Fayette, KY","408,326",2000
30620,"Lima, OH","108,473",2000
30700,"Lincoln, NE","266,787",2000
30780,"Little Rock-North Little Rock-Conway, AR","610,518",2000
30860,"Logan, UT-ID","102,720",2000
30980,"Longview, TX","194,042",2000
31020,"Longview, WA","92,948",2000
31100,"Los Angeles-Long Beach-Santa Ana, CA","12,365,627",2000
31140,"Louisville/Jefferson County, KY-IN","1,161,975",2000
31180,"Lubbock, TX","249,700",2000
31340,"Lynchburg, VA","228,616",2000
31420,"Macon, GA","222,368",2000
31460,"Madera-Chowchilla, CA","123,109",2000
31540,"Madison, WI","501,774",2000
31700,"Manchester-Nashua, NH","380,841",2000
31740,"Manhattan, KS","108,999",2000
31860,"Mankato-North Mankato, MN","85,712",2000
31900,"Mansfield, OH","128,852",2000
32580,"McAllen-Edinburg-Mission, TX","569,463",2000
32780,"Medford, OR","181,269",2000
32820,"Memphis, TN-MS-AR","1,205,204",2000
32900,"Merced, CA","210,554",2000
33100,"Miami-Fort Lauderdale-Pompano Beach, FL","5,007,564",2000
33140,"Michigan City-La Porte, IN","110,106",2000
33260,"Midland, TX","116,009",2000
33340,"Milwaukee-Waukesha-West Allis, WI","1,500,741",2000
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","2,968,806",2000
33540,"Missoula, MT","95,802",2000
33660,"Mobile, AL","399,843",2000
33700,"Modesto, CA","446,997",2000
33740,"Monroe, LA","170,053",2000
33780,"Monroe, MI","145,945",2000
33860,"Montgomery, AL","346,528",2000
34060,"Morgantown, WV","111,200",2000
34100,"Morristown, TN","123,081",2000
34580,"Mount Vernon-Anacortes, WA","102,979",2000
34620,"Muncie, IN","118,769",2000
34740,"Muskegon-Norton Shores, MI","170,200",2000
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC","196,629",2000
34900,"Napa, CA","124,279",2000
34940,"Naples-Marco Island, FL","251,377",2000
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","1,311,789",2000
35300,"New Haven-Milford, CT","824,008",2000
35380,"New Orleans-Metairie-Kenner, LA","1,316,510",2000
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA","18,323,002",2000
35660,"Niles-Benton Harbor, MI","162,453",2000
35840,"North Port-Bradenton-Sarasota, FL","589,959",2000
35980,"Norwich-New London, CT","259,088",2000
36100,"Ocala, FL","258,916",2000
36140,"Ocean City, NJ","102,326",2000
36220,"Odessa, TX","121,123",2000
36260,"Ogden-Clearfield, UT","442,656",2000
36420,"Oklahoma City, OK","1,095,421",2000
36500,"Olympia, WA","207,355",2000
36540,"Omaha-Council Bluffs, NE-IA","767,041",2000
36740,"Orlando-Kissimmee-Sanford, FL","1,644,561",2000
36780,"Oshkosh-Neenah, WI","156,763",2000
36980,"Owensboro, KY","109,875",2000
37100,"Oxnard-Thousand Oaks-Ventura, CA","753,197",2000
37340,"Palm Bay-Melbourne-Titusville, FL","476,230",2000
37380,"Palm Coast, FL","49,832",2000
37460,"Panama City-Lynn Haven-Panama City Beach, FL","148,217",2000
37620,"Parkersburg-Marietta-Vienna, WV-OH","164,624",2000
37700,"Pascagoula, MS","150,564",2000
37860,"Pensacola-Ferry Pass-Brent, FL","412,153",2000
37900,"Peoria, IL","366,899",2000
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,687,147",2000
38060,"Phoenix-Mesa-Glendale, AZ","3,251,876",2000
38220,"Pine Bluff, AR","107,341",2000
38300,"Pittsburgh, PA","2,431,087",2000
38340,"Pittsfield, MA","134,953",2000
38540,"Pocatello, ID","83,103",2000
38860,"Portland-South Portland-Biddeford, ME","487,568",2000
38900,"Portland-Vancouver-Hillsboro, OR-WA","1,927,881",2000
38940,"Port St. Lucie, FL","319,426",2000
39100,"Poughkeepsie-Newburgh-Middletown, NY","621,517",2000
39140,"Prescott, AZ","167,517",2000
39300,"Providence-New Bedford-Fall River, RI-MA","1,582,997",2000
39340,"Provo-Orem, UT","376,774",2000
39380,"Pueblo, CO","141,472",2000
39460,"Punta Gorda, FL","141,627",2000
39540,"Racine, WI","188,831",2000
39580,"Raleigh-Cary, NC","797,071",2000
39660,"Rapid City, SD","112,818",2000
39740,"Reading, PA","373,638",2000
39820,"Redding, CA","163,256",2000
39900,"Reno-Sparks, NV","342,885",2000
40060,"Richmond, VA","1,096,957",2000
40140,"Riverside-San Bernardino-Ontario, CA","3,254,821",2000
40220,"Roanoke, VA","288,309",2000
40340,"Rochester, MN","163,618",2000
40380,"Rochester, NY","1,037,831",2000
40420,"Rockford, IL","320,204",2000
40580,"Rocky Mount, NC","143,026",2000
40660,"Rome, GA","90,565",2000
40900,"Sacramento--Arden-Arcade--Roseville, CA","1,796,857",2000
40980,"Saginaw-Saginaw Township North, MI","210,039",2000
41060,"St. Cloud, MN","167,392",2000
41100,"St. George, UT","90,354",2000
41140,"St. Joseph, MO-KS","122,336",2000
41180,"St. Louis, MO-IL","2,698,687",2000
41420,"Salem, OR","347,214",2000
41500,"Salinas, CA","401,762",2000
41540,"Salisbury, MD","109,391",2000
41620,"Salt Lake City, UT","968,858",2000
41660,"San Angelo, TX","105,781",2000
41700,"San Antonio-New Braunfels, TX","1,711,703",2000
41740,"San Diego-Carlsbad-San Marcos, CA","2,813,833",2000
41780,"Sandusky, OH","79,551",2000
41860,"San Francisco-Oakland-Fremont, CA","4,123,740",2000
41940,"San Jose-Sunnyvale-Santa Clara, CA","1,735,819",2000
42020,"San Luis Obispo-Paso Robles, CA","246,681",2000
42060,"Santa Barbara-Santa Maria-Goleta, CA","399,347",2000
42100,"Santa Cruz-Watsonville, CA","255,602",2000
42140,"Santa Fe, NM","129,292",2000
42220,"Santa Rosa-Petaluma, CA","458,614",2000
42340,"Savannah, GA","293,000",2000
42540,"Scranton--Wilkes-Barre, PA","560,625",2000
42660,"Seattle-Tacoma-Bellevue, WA","3,043,878",2000
42680,"Sebastian-Vero Beach, FL","112,947",2000
43100,"Sheboygan, WI","112,646",2000
43300,"Sherman-Denison, TX","110,595",2000
43340,"Shreveport-Bossier City, LA","375,965",2000
43580,"Sioux City, IA-NE-SD","143,053",2000
43620,"Sioux Falls, SD","187,093",2000
43780,"South Bend-Mishawaka, IN-MI","316,663",2000
43900,"Spartanburg, SC","253,791",2000
44060,"Spokane, WA","417,939",2000
44100,"Springfield, IL","201,437",2000
44140,"Springfield, MA","680,014",2000
44180,"Springfield, MO","368,374",2000
44220,"Springfield, OH","144,742",2000
44300,"State College, PA","135,758",2000
44600,"Steubenville-Weirton, OH-WV","132,008",2000
44700,"Stockton, CA","563,598",2000
44940,"Sumter, SC","104,646",2000
45060,"Syracuse, NY","650,154",2000
45220,"Tallahassee, FL","320,304",2000
45300,"Tampa-St. Petersburg-Clearwater, FL","2,395,997",2000
45460,"Terre Haute, IN","170,943",2000
45500,"Texarkana, TX-Texarkana, AR","129,749",2000
45780,"Toledo, OH","659,188",2000
45820,"Topeka, KS","224,551",2000
45940,"Trenton-Ewing, NJ","350,761",2000
46060,"Tucson, AZ","843,746",2000
46140,"Tulsa, OK","859,532",2000
46220,"Tuscaloosa, AL","192,034",2000
46340,"Tyler, TX","174,706",2000
46540,"Utica-Rome, NY","299,896",2000
46660,"Valdosta, GA","119,560",2000
46700,"Vallejo-Fairfield, CA","394,542",2000
47020,"Victoria, TX","111,663",2000
47220,"Vineland-Millville-Bridgeton, NJ","146,438",2000
47260,"Virginia Beach-Norfolk-Newport News, VA-NC","1,576,370",2000
47300,"Visalia-Porterville, CA","368,021",2000
47380,"Waco, TX","213,517",2000
47580,"Warner Robins, GA","110,765",2000
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","4,796,183",2000
47940,"Waterloo-Cedar Falls, IA","163,706",2000
48140,"Wausau, WI","125,834",2000
48300,"Wenatchee-East Wenatchee, WA","99,219",2000
48540,"Wheeling, WV-OH","153,172",2000
48620,"Wichita, KS","571,166",2000
48660,"Wichita Falls, TX","151,524",2000
48700,"Williamsport, PA","120,044",2000
48900,"Wilmington, NC","274,532",2000
49020,"Winchester, VA-WV","102,997",2000
49180,"Winston-Salem, NC","421,961",2000
